"","1","1.01","1.02","1.03","1.04","1.05","1.06","1.07","1.08","1.09","1.1","1.11","1.12","1.13","1.14","1.15","1.16","1.17","1.18","1.19","1.2"
"0",0.047,0.049,0.048,0.058,0.052,0.056,0.059,0.06,0.056,0.06,0.064,0.064,0.062,0.064,0.073,0.07,0.074,0.072,0.079,0.078,0.071
"0.1",0.345,0.329,0.325,0.354,0.332,0.348,0.348,0.361,0.37,0.361,0.375,0.376,0.371,0.383,0.396,0.386,0.393,0.394,0.404,0.412,0.406
"0.2",0.78,0.775,0.766,0.78,0.779,0.782,0.79,0.794,0.798,0.799,0.796,0.801,0.806,0.806,0.803,0.816,0.816,0.813,0.819,0.824,0.828
"0.3",0.967,0.967,0.966,0.965,0.961,0.972,0.968,0.969,0.968,0.968,0.971,0.972,0.977,0.975,0.972,0.974,0.981,0.974,0.974,0.977,0.98
"0.4",0.998,0.996,0.996,0.998,0.998,0.996,0.997,0.997,0.997,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.999,0.998,0.999,0.998
"0.5",1,1,1,1,1,1,1,1,0.999,1,1,1,1,1,1,1,1,1,1,1,1
"0.6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
