"","1","1.01","1.02","1.03","1.04","1.05","1.06","1.07","1.08","1.09","1.1","1.11","1.12","1.13","1.14","1.15","1.16","1.17","1.18","1.19","1.2"
"0",0.056,0.052,0.057,0.065,0.064,0.068,0.072,0.081,0.097,0.104,0.096,0.109,0.116,0.118,0.128,0.139,0.134,0.146,0.165,0.176,0.175
"0.1",0.166,0.187,0.2,0.211,0.207,0.228,0.236,0.251,0.246,0.264,0.273,0.293,0.301,0.315,0.324,0.349,0.362,0.367,0.372,0.392,0.402
"0.2",0.393,0.406,0.434,0.44,0.45,0.462,0.463,0.51,0.513,0.524,0.536,0.539,0.558,0.582,0.58,0.595,0.604,0.61,0.638,0.654,0.671
"0.3",0.618,0.65,0.656,0.676,0.684,0.7,0.708,0.725,0.713,0.735,0.755,0.776,0.776,0.784,0.782,0.805,0.81,0.822,0.836,0.843,0.841
"0.4",0.794,0.807,0.823,0.827,0.836,0.849,0.854,0.857,0.867,0.87,0.878,0.886,0.896,0.898,0.908,0.909,0.909,0.921,0.927,0.924,0.929
"0.5",0.884,0.885,0.899,0.909,0.922,0.919,0.93,0.929,0.935,0.94,0.94,0.94,0.945,0.946,0.96,0.96,0.961,0.965,0.963,0.971,0.975
"0.6",0.935,0.94,0.943,0.94,0.946,0.952,0.957,0.959,0.963,0.967,0.966,0.971,0.973,0.976,0.975,0.979,0.98,0.983,0.982,0.985,0.985
