"","1","1.2","1.4","1.6","2","2.4","3"
"0",0.048,0.048,0.049,0.052,0.047,0.044,0.043
"0.1",0.352,0.349,0.344,0.331,0.307,0.287,0.271
"0.2",0.828,0.809,0.785,0.792,0.757,0.733,0.679
"0.3",0.986,0.986,0.977,0.979,0.97,0.954,0.924
"0.4",1,0.999,0.999,0.999,0.999,0.996,0.994
"0.5",1,1,1,1,1,1,0.999
"0.6",1,1,1,1,1,1,1
