"","1","1.01","1.02","1.03","1.04","1.05","1.06","1.07","1.08","1.09","1.1","1.11","1.12","1.13","1.14","1.15","1.16","1.17","1.18","1.19","1.2"
"0",0.047,0.049,0.044,0.055,0.051,0.052,0.052,0.049,0.046,0.048,0.058,0.05,0.046,0.046,0.046,0.047,0.056,0.049,0.056,0.044,0.045
"0.1",0.408,0.393,0.387,0.399,0.389,0.395,0.398,0.394,0.402,0.396,0.409,0.401,0.398,0.398,0.402,0.395,0.392,0.399,0.396,0.395,0.4
"0.2",0.881,0.875,0.872,0.877,0.871,0.875,0.877,0.873,0.876,0.875,0.863,0.873,0.878,0.874,0.874,0.871,0.872,0.864,0.868,0.876,0.867
"0.3",0.995,0.997,0.995,0.995,0.993,0.996,0.994,0.995,0.995,0.994,0.993,0.994,0.995,0.996,0.995,0.992,0.997,0.994,0.993,0.994,0.994
"0.4",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0.6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
