"","1","1.01","1.02","1.03","1.04","1.05","1.06","1.07","1.08","1.09","1.1","1.11","1.12","1.13","1.14","1.15","1.16","1.17","1.18","1.19","1.2"
"0",0.047,0.054,0.048,0.06,0.059,0.062,0.061,0.062,0.066,0.068,0.077,0.078,0.079,0.081,0.091,0.089,0.092,0.096,0.101,0.101,0.112
"0.1",0.258,0.277,0.275,0.273,0.3,0.288,0.3,0.321,0.328,0.313,0.32,0.329,0.339,0.341,0.373,0.359,0.364,0.383,0.397,0.404,0.408
"0.2",0.623,0.637,0.628,0.64,0.653,0.668,0.654,0.658,0.685,0.683,0.698,0.69,0.712,0.723,0.727,0.729,0.733,0.737,0.749,0.761,0.758
"0.3",0.88,0.882,0.88,0.901,0.9,0.898,0.902,0.907,0.903,0.911,0.912,0.918,0.921,0.925,0.921,0.928,0.928,0.937,0.927,0.936,0.937
"0.4",0.973,0.97,0.975,0.972,0.975,0.979,0.976,0.981,0.978,0.979,0.98,0.98,0.983,0.982,0.981,0.987,0.985,0.987,0.988,0.988,0.989
"0.5",0.99,0.991,0.991,0.994,0.993,0.994,0.993,0.995,0.995,0.995,0.995,0.996,0.998,0.996,0.997,0.996,0.997,0.997,0.997,0.997,0.997
"0.6",0.998,0.998,0.996,0.998,0.997,0.998,0.998,0.998,0.999,0.998,0.999,0.997,0.999,0.999,0.999,0.999,0.999,0.999,0.999,1,1
