"","1","1.01","1.02","1.03","1.04","1.05","1.06","1.07","1.08","1.09","1.1","1.11","1.12","1.13","1.14","1.15","1.16","1.17","1.18","1.19","1.2"
"0",0.047,0.051,0.049,0.053,0.045,0.047,0.05,0.047,0.047,0.052,0.05,0.046,0.05,0.049,0.052,0.05,0.049,0.048,0.053,0.052,0.049
"0.1",0.352,0.365,0.356,0.346,0.368,0.347,0.352,0.354,0.369,0.356,0.342,0.35,0.358,0.344,0.361,0.343,0.344,0.352,0.359,0.357,0.358
"0.2",0.826,0.823,0.814,0.815,0.816,0.819,0.81,0.811,0.822,0.809,0.821,0.811,0.81,0.816,0.817,0.817,0.807,0.813,0.813,0.811,0.816
"0.3",0.986,0.984,0.987,0.988,0.983,0.985,0.982,0.985,0.985,0.984,0.984,0.985,0.984,0.983,0.981,0.981,0.978,0.983,0.981,0.983,0.983
"0.4",1,1,1,1,1,0.999,0.999,0.999,1,1,1,0.999,1,1,0.999,0.999,0.999,1,0.999,0.999,0.999
"0.5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"0.6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
