"","1","1.2","1.4","1.6","2","2.4","3"
"0",0.056,0.18,0.417,0.652,0.936,0.995,1
"0.1",0.179,0.412,0.663,0.838,0.983,1,1
"0.2",0.39,0.669,0.852,0.948,0.998,1,1
"0.3",0.621,0.84,0.948,0.984,0.999,1,1
"0.4",0.803,0.932,0.985,0.995,1,1,1
"0.5",0.886,0.973,0.994,1,1,1,1
"0.6",0.936,0.988,0.997,1,1,1,1
