,1,1.05,1.1,1.15,1.2,1.25,1.3
0,0.059,0.147,0.34,0.613,0.817,0.937,0.986
0.05,0.417,0.463,0.595,0.749,0.895,0.965,0.993
0.1,0.93,0.933,0.943,0.959,0.982,0.995,0.998
0.15,0.999,1,0.999,1,1,1,1
0.2,1,1,1,1,1,1,1
